# category	id	name	rarity	icon	desc	acquire	track	tags
appearances	Shoulders_RManfish_WizCle	Aiguillettes marines délicates	2	0		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Shoulders,class:Mage,class:Priest
appearances	Shoulders_RBee_Ass	Ailes d'abeille	2	1		Drops from Bee enemies	Bee - Nescent Hive@2074.8,141.1,-21.7;Bee - Honeywoods Canopy@-1060.4,908.6,195.2;Bee - Nescent Hive@2059.1,310,41.2	slot:Shoulders,class:Rogue
appearances	Back_RManfish_WizCle	Ailes du prophète	2	2		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Back,class:Mage,class:Priest
appearances	Back_RCrimson_Fig	Ailes écarlates	2	3		Drops from Crimson enemies	Crimson - CrimsonIsland Cathedral@542.1,-860.5,219.8;Crimson - Krisomal Priaire@1242.8,714.8,101.4;Crimson - CrimsonIsland South@318.6,-592.2,111.5	slot:Back,class:Warrior
appearances	Head_RBee_AssWiz	Antenne de reconnaissance	2	4		Drops from Bee enemies	Bee - Nescent Hive@2074.8,141.1,-21.7;Bee - Honeywoods Canopy@-1060.4,908.6,195.2;Bee - Nescent Hive@2059.1,310,41.2	slot:Head,class:Rogue,class:Mage
appearances	Chest_RManfish_FigWiz	Armure à ailerons	2	5		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Chest,class:Warrior,class:Mage
appearances	Waist_RBee_FigWiz	Aura alvéolaire	2	6		Craft: Blacksmith (lvl 3)		slot:Waist,class:Warrior,class:Mage
appearances	Back_RBee_Wiz	Back_RBee_Wiz	2	7	Voile de la nymphe royale	Drops from Bee enemies	Bee - Nescent Hive@2074.8,141.1,-21.7;Bee - Honeywoods Canopy@-1060.4,908.6,195.2;Bee - Nescent Hive@2059.1,310,41.2	slot:Back,class:Mage
appearances	Head_Z2U1_AssCle	Bandeau d'aventure éthéré	1	8		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Rogue,class:Priest
appearances	Head_Z2U1_AssWiz	Bandeau d'aventure imprégné	1	9		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Rogue,class:Mage
appearances	Head_Z2U1_Ass	Bandeau d'aventure léger	1	10		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Rogue
appearances	Head_Z2U2_AssCle	Bandeau de voyage éthéré	1	11		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Rogue,class:Priest
appearances	Head_Z2U2_AssWiz	Bandeau de voyage imprégné	1	12		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Rogue,class:Mage
appearances	Head_Z2U2_Ass	Bandeau de voyage léger	1	13		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Rogue
appearances	Legs_RDemon_AssCle	Bandes molletières du dieu déchu	2	14		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Legs,class:Rogue,class:Priest
appearances	Back_RDemon_Ass	Bannière noctaris	2	15		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Back,class:Rogue
appearances	Back_RKobold_Ass	Bavoir réversible du goûteur de fromage	2	16		Drops from Kobold enemies	Kobold - Eksod Kobolds@1100.1,-914.2,1.2;Kobold - Enripit Hollow@-567.2,388.7,3;Kobold - Enripit Hollow@-286.2,824.9,54.5	slot:Back,class:Rogue
appearances	Feet_RDemon_AssCle	Bottes arpentemonde	2	17		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Feet,class:Rogue,class:Priest
appearances	Feet_Z2U1_AssCle	Bottes d'aventure éthérées	1	18		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Rogue,class:Priest
appearances	Feet_Z2U1_AssWiz	Bottes d'aventure imprégnées	1	19		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Rogue,class:Mage
